"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000120915.14","ENSG00000120915.14",0.973676426156997,2.64766051660513,0.0196605223818341,"10","211","0.37769192603371",0.52348796241926,0.0104849574560032,"ENSG00000120915","EPHX2","epoxide hydrolase 2"
"ENSG00000126775.9","ENSG00000126775.9",-0.387211497818571,0.678947483828701,0.0108806329337209,"107","114","1.47286796669579",0.558853360380078,0.0217423340234681,"ENSG00000126775","ATG14","autophagy related 14"
"ENSG00000172315.6","ENSG00000172315.6",-0.369494531463049,0.691083563364526,0.0302825432610958,"159","62","1.44700301528157",0.531815512731543,0.0214637300047475,"ENSG00000172315","TP53RK","TP53 regulating kinase"
"ENSG00000213853.10","ENSG00000213853.10",0.421013097876221,1.52350423294794,0.00992782742496834,"76","145","0.656381504149173",0.545828217583943,0.021175964034175,"ENSG00000213853","EMP2","epithelial membrane protein 2"
"ENSG00000102030.16","ENSG00000102030.16",-0.913221869892194,0.401229430303855,0.0332529506355538,"214","7","2.49233960540404",0.512678161533123,0.0103269851793359,"ENSG00000102030","NAA10","N-alpha-acetyltransferase 10, NatA catalytic subunit"
"ENSG00000136147.18","ENSG00000136147.18",0.41083178683559,1.50807165771521,0.0466993463475888,"40","181","0.663098464110809",0.534831580633107,0.0164787811422311,"ENSG00000136147","PHF11","PHD finger protein 11"
"ENSG00000089195.15","ENSG00000089195.15",-0.840198252512665,0.431624944216493,0.0101945915503884,"206","15","2.31682624787881",0.532616238723109,0.0113801943283134,"ENSG00000089195","TRMT6","tRNA methyltransferase 6 non-catalytic subunit"
"ENSG00000269190.6","ENSG00000269190.6",0.930983685561903,2.53700356434736,0.00315584827032904,"19","202","0.394165784413176",0.545454545454545,0.011381932560734,"ENSG00000269190","FBXO17","F-box protein 17"
"ENSG00000127663.15","ENSG00000127663.15",-0.321273390660613,0.725224954155815,0.0340733071022146,"117","104","1.37888250296631",0.559654086371644,0.0217008355955441,"ENSG00000127663","KDM4B","lysine demethylase 4B"
"ENSG00000150961.15","ENSG00000150961.15",0.37808517905652,1.45948725532872,0.0294332854779781,"64","157","0.68517213586409",0.532029039662627,0.020682426506257,"ENSG00000150961","SEC24D","SEC24 homolog D, COPII component"
"ENSG00000105699.16","ENSG00000105699.16",-0.410793053638399,0.663124148531794,0.022375538987832,"164","57","1.50801324640955",0.535418779693589,0.0193860072332016,"ENSG00000105699","LSR","lipolysis stimulated lipoprotein receptor"
"ENSG00000132334.17","ENSG00000132334.17",0.477778917589709,1.6124889510297,0.00564271729771279,"61","160","0.6201592881374",0.545694763252015,0.0209823849570217,"ENSG00000132334","PTPRE","protein tyrosine phosphatase receptor type E"
"ENSG00000110841.14","ENSG00000110841.14",0.421209661426136,1.5238037277822,0.00849537797215776,"147","74","0.656252496150169",0.551673517322372,0.0205832035651599,"ENSG00000110841","PPFIBP1","PPFIB scaffold protein 1"
"ENSG00000165609.13","ENSG00000165609.13",-0.572782433798858,0.563954088707224,0.00246057333105298,"168","53","1.77319398870277",0.557145144931404,0.0179482193663566,"ENSG00000165609","NUDT5","nudix hydrolase 5"
"ENSG00000144959.11","ENSG00000144959.11",0.381601332140132,1.46462806858878,0.0222249770064596,"67","154","0.682767196291368",0.547669887364544,0.0204736395380723,"ENSG00000144959","NCEH1","neutral cholesterol ester hydrolase 1"
"ENSG00000072786.13","ENSG00000072786.13",0.579281905585643,1.78475634691284,0.00266157439416695,"51","170","0.560300570848081",0.552500934180324,0.0180331290139644,"ENSG00000072786","STK10","serine/threonine kinase 10"
"ENSG00000153815.16","ENSG00000153815.16",0.503939077161551,1.65522851886558,0.029718217913319,"197","24","0.604146188035328",0.518256552607698,0.0129437281274917,"ENSG00000153815","CMIP","c-Maf inducing protein"
"ENSG00000221500.1","ENSG00000221500.1",-0.421721416613427,0.655916741450524,0.0161501822956085,"49","172","1.52458374181539",0.523274435488176,0.0177049315161843,"ENSG00000221500","SNORD100","small nucleolar RNA, C/D box 100"
"ENSG00000203875.13","ENSG00000203875.13",-0.739259621840302,0.477467291043391,0.00142980880982687,"26","195","2.09438430392737",0.532215875727326,0.0132896631680543,"ENSG00000203875","SNHG5","small nucleolar RNA host gene 5"
"ENSG00000107821.15","ENSG00000107821.15",1.0215342237653,2.77745273077869,0.0157691570935403,"214","7","0.360042131021124",0.514119468317942,0.00779488328112456,"ENSG00000107821","KAZALD1","Kazal type serine peptidase inhibitor domain 1"
"ENSG00000006756.16","ENSG00000006756.16",0.60761690672372,1.83605070096871,0.00991056601731677,"33","188","0.544647268984671",0.530507660278653,0.0172094770879753,"ENSG00000006756","ARSD","arylsulfatase D"
"ENSG00000258342.2","ENSG00000258342.2",-0.328806013839579,0.719782631073953,0.0440105293351218,"148","73","1.38930832285845",0.542785458815993,0.020571498632408,"ENSG00000258342",NA,NA
"ENSG00000229520.1","ENSG00000229520.1",0.311685135006532,1.36572460645414,0.0447538276056303,"133","88","0.732212039875537",0.535045107564192,0.0218099057708448,"ENSG00000229520",NA,NA
"ENSG00000132323.9","ENSG00000132323.9",-0.377465978027891,0.685596526533414,0.0247996367795387,"156","65","1.45858381905216",0.541797896759729,0.0204257666190624,"ENSG00000132323","ILKAP","ILK associated serine/threonine phosphatase"
"ENSG00000144199.12","ENSG00000144199.12",1.41192102506572,4.10383139964084,0.0156720051418394,"8","213","0.243674727984078",0.522927454225164,0.00865072081606235,"ENSG00000144199","FAHD2B","fumarylacetoacetate hydrolase domain containing 2B"
"ENSG00000131269.19","ENSG00000131269.19",-0.389640722984116,0.677300169174094,0.0110785693718833,"105","116","1.4764502439434",0.540490044306838,0.0223864731887784,"ENSG00000131269","ABCB7","ATP binding cassette subfamily B member 7"
"ENSG00000138131.4","ENSG00000138131.4",0.342916206786799,1.40905068809491,0.0256143767092127,"101","120","0.709697676917527",0.540943789035392,0.0221091434019591,"ENSG00000138131","LOXL4","lysyl oxidase like 4"
"ENSG00000244879.8","ENSG00000244879.8",-0.394697968566209,0.673883542527685,0.0431746543662704,"176","45","1.4839359279336",0.519083969465649,0.0190163809419567,"ENSG00000244879",NA,NA
"ENSG00000013523.11","ENSG00000013523.11",-0.36705695174716,0.6927701894482,0.043006645841742,"50","171","1.44348012548939",0.540036299578284,0.019182263817357,"ENSG00000013523","ANGEL1","angel homolog 1"
"ENSG00000211956.2","ENSG00000211956.2",0.573219952870043,1.7739699646295,0.025510502781643,"201","20","0.563707402007145",0.53344365558106,0.0144536970040448,"ENSG00000211956","IGHV4-34","immunoglobulin heavy variable 4-34"
"ENSG00000168612.4","ENSG00000168612.4",-0.809348674547614,0.445147907984583,0.00205938258651076,"201","20","2.24644434369583",0.537420594672503,0.0151439431336009,"ENSG00000168612","ZSWIM1","zinc finger SWIM-type containing 1"
"ENSG00000104228.13","ENSG00000104228.13",1.2325736745955,3.43004600833112,0.00769572448286078,"215","6","0.291541278913209",0.514199540917098,0.00774660846254378,"ENSG00000104228","TRIM35","tripartite motif containing 35"
"ENSG00000110074.11","ENSG00000110074.11",-0.33319679727511,0.716629149613655,0.0320482508611864,"101","120","1.39542188667474",0.526237121656969,0.0220458928444802,"ENSG00000110074","FOXRED1","FAD dependent oxidoreductase domain containing 1"
"ENSG00000137449.17","ENSG00000137449.17",0.382324505283838,1.46568763135099,0.0195028215724334,"75","146","0.682273615885165",0.536112742219612,0.021363712940506,"ENSG00000137449","CPEB2","cytoplasmic polyadenylation element binding protein 2"
"ENSG00000100426.7","ENSG00000100426.7",0.51833527929697,1.679229872852,0.0438269226263089,"200","21","0.595511082888014",0.526504030320824,0.0142947295521213,"ENSG00000100426","ZBED4","zinc finger BED-type containing 4"
"ENSG00000124104.19","ENSG00000124104.19",0.416609571955269,1.51681019207575,0.028296530213888,"50","171","0.659278270428485",0.540169753910212,0.018577061151943,"ENSG00000124104","SNX21","sorting nexin family member 21"
"ENSG00000172986.13","ENSG00000172986.13",0.48780728729198,1.62874094064905,0.00970599624231051,"47","174","0.613971181691731",0.543426039609246,0.0178268428683662,"ENSG00000172986","GXYLT2","glucoside xylosyltransferase 2"
"ENSG00000228886.1","ENSG00000228886.1",-0.62888522667448,0.533185851194182,0.046846437470051,"12","209","1.87551863531316",0.513238669727219,0.00874167942783861,"ENSG00000228886",NA,NA
"ENSG00000148481.14","ENSG00000148481.14",-0.340330747050607,0.711534945754918,0.0283707103277081,"124","97","1.40541234969005",0.532162493994555,0.0222101586497737,"ENSG00000148481","MINDY3","MINDY lysine 48 deubiquitinase 3"
"ENSG00000101391.21","ENSG00000101391.21",-0.35904102199015,0.698345703233417,0.023065603644387,"140","81","1.43195554203297",0.544493674264667,0.021559236244395,"ENSG00000101391","CDK5RAP1","CDK5RAP1 mitochondrial tRNA methylthiotransferase"
"ENSG00000108700.5","ENSG00000108700.5",0.384103761422327,1.46829778644482,0.014070357139222,"143","78","0.681060755680422",0.573720172956814,0.0213639259584788,"ENSG00000108700","CCL8","C-C motif chemokine ligand 8"
"ENSG00000104998.4","ENSG00000104998.4",0.387743875990022,1.47365229821265,0.011714823194636,"136","85","0.678586123207538",0.553274969305504,0.0213660354194121,"ENSG00000104998","IL27RA","interleukin 27 receptor subunit alpha"
"ENSG00000100441.10","ENSG00000100441.10",0.950180274703904,2.58617583937803,0.0256123236576275,"10","211","0.386671310114975",0.523754871083115,0.00833776477212293,"ENSG00000100441","KHNYN","KH and NYN domain containing"
"ENSG00000205791.3","ENSG00000205791.3",-0.523691905476136,0.592329681028786,0.0299486951262039,"194","27","1.6882490140679",0.520792184914322,0.0164577417733208,"ENSG00000205791","LOH12CR2","loss of heterozygosity on chromosome 12, region 2"
"ENSG00000250451.5","ENSG00000250451.5",0.808448335834676,2.24442269310845,0.000483103709468281,"193","28","0.445548872353912",0.538434847595153,0.0138992703865806,"ENSG00000250451","HOXC-AS1","HOXC cluster antisense RNA 1"
"ENSG00000164309.15","ENSG00000164309.15",0.883388652919206,2.41908326653676,0.010150073623065,"17","204","0.413379735138938",0.533897400309614,0.0114612954852438,"ENSG00000164309","CMYA5","cardiomyopathy associated 5"
"ENSG00000189377.9","ENSG00000189377.9",-0.551464952216143,0.576105225266629,0.015776823945476,"185","36","1.73579401147974",0.538221320664069,0.0149354487398773,"ENSG00000189377","CXCL17","C-X-C motif chemokine ligand 17"
